Date,Unemployment Rate,Feds Funds,Industrial Production,Leading Index,Housing Starts,Building Permits,Consumer Sentiment,Close
9/1/2007,4.7,4.94,101.9398,0.4,1183,1261,83.4,150.4
10/1/2007,4.7,4.76,101.6345,0.61,1264,1192,80.9,154.3
11/1/2007,4.7,4.49,102.2068,0.43,1197,1224,76.1,151.0
12/1/2007,5,4.24,102.2604,0.25,1037,1149,75.5,147.7
1/1/2008,5,3.94,102.14,0.41,1084,1094,78.4,143.6
2/1/2008,4.9,2.98,101.7671,0.32,1103,1014,70.8,139.6
3/1/2008,5.1,2.61,101.4355,0.19,1005,967,69.5,133.5
4/1/2008,5,2.28,100.7424,0.18,1013,1008,62.6,136.6
5/1/2008,5.4,1.98,100.132,0,973,995,59.8,141.1
6/1/2008,5.6,2,99.8651,-0.12,1046,1180,56.4,138.9
7/1/2008,5.8,2.01,99.4214,-0.41,923,921,61.2,128.4
8/1/2008,6.1,2,97.8448,-0.79,844,858,63,126.2
9/1/2008,6.1,1.81,93.559,-0.6,820,797,70.3,121.1
10/1/2008,6.5,0.97,94.4956,-1.18,777,736,57.6,116.1
11/1/2008,6.8,0.39,93.2689,-1.77,652,626,55.3,97.1
12/1/2008,7.3,0.16,90.628,-1.88,560,554,60.1,82.1
1/1/2009,7.8,0.15,88.3811,-2.32,490,545,61.2,82.3
2/1/2009,8.3,0.22,87.8412,-2.29,582,558,56.3,82.6
3/1/2009,8.7,0.18,86.4794,-2.65,505,513,57.3,70.6
4/1/2009,9,0.15,85.7883,-2.21,478,521,65.1,81.1
5/1/2009,9.4,0.18,84.9516,-1.29,540,556,68.7,87.9
6/1/2009,9.5,0.21,84.6928,-0.77,585,601,70.8,94.8
7/1/2009,9.5,0.16,85.7044,-0.21,594,595,66,92.3
8/1/2009,9.6,0.16,86.6617,-0.06,586,616,65.7,100.4
9/1/2009,9.8,0.15,87.4033,0.3,585,609,73.5,100.2
10/1/2009,10,0.12,87.6035,0.17,534,583,70.6,103.0
11/1/2009,9.9,0.12,87.9559,0.46,588,623,67.4,104.3
12/1/2009,9.9,0.12,88.2468,0.65,581,664,72.5,111.3
1/1/2010,9.8,0.11,89.1911,0.54,614,636,74.4,110.2
2/1/2010,9.8,0.13,89.4972,0.76,604,650,73.6,109.1
3/1/2010,9.9,0.16,90.1419,1.1,636,687,73.6,111.9
4/1/2010,9.9,0.2,90.4591,1.14,687,637,72.2,117.8
5/1/2010,9.6,0.2,91.702,1.42,583,575,73.6,120.3
6/1/2010,9.4,0.18,91.8997,1.45,536,587,76,107.5
7/1/2010,9.4,0.18,92.2522,1.41,546,579,67.8,102.8
8/1/2010,9.5,0.19,92.5899,0.89,599,580,68.9,112.8
9/1/2010,9.5,0.19,92.8564,0.51,594,563,68.2,108.5
10/1/2010,9.4,0.19,92.6037,0.79,543,558,67.7,114.6
11/1/2010,9.8,0.19,92.6773,1.4,545,560,71.6,118.5
12/1/2010,9.3,0.18,93.5851,1.52,539,632,74.5,121.0
1/1/2011,9.1,0.17,93.3944,1.43,630,576,74.2,127.1
2/1/2011,9,0.16,92.993,1.49,517,542,77.5,130.7
3/1/2011,9,0.14,93.982,1.65,600,583,67.5,130.9
4/1/2011,9.1,0.1,93.6525,1.53,554,581,69.8,133.1
5/1/2011,9,0.09,93.7775,1.3,561,618,74.3,136.2
6/1/2011,9.1,0.09,94.0467,1.23,608,636,71.5,131.9
7/1/2011,9,0.07,94.4931,1.31,623,621,63.7,133.9
8/1/2011,9,0.1,95.0969,1.64,585,647,55.8,128.8
9/1/2011,9,0.08,95.0281,1.38,650,610,59.5,120.9
10/1/2011,8.8,0.07,95.6924,1.56,610,671,60.8,109.9
11/1/2011,8.6,0.08,95.6913,1.81,711,706,63.7,122.0
12/1/2011,8.5,0.07,96.1938,1.73,694,697,69.9,125.0
1/1/2012,8.3,0.08,96.779,1.97,723,712,75,128.7
2/1/2012,8.3,0.1,97.0959,1.89,704,738,75.3,132.5
3/1/2012,8.2,0.13,96.5919,1.94,695,806,76.2,137.7
4/1/2012,8.2,0.14,97.2942,1.82,753,732,76.4,141.8
5/1/2012,8.2,0.16,97.4853,1.73,708,796,79.3,140.7
6/1/2012,8.2,0.16,97.4959,1.5,757,794,73.2,128.2
7/1/2012,8.2,0.16,97.6922,1.47,740,849,72.3,136.5
8/1/2012,8.1,0.13,97.3061,1.44,754,840,74.3,137.6
9/1/2012,7.8,0.14,97.2383,1.62,847,930,78.3,141.0
10/1/2012,7.8,0.16,97.5425,1.82,915,887,82.6,144.4
11/1/2012,7.7,0.16,97.934,1.37,833,917,82.7,142.8
12/1/2012,7.9,0.16,98.1984,1.58,976,941,72.9,141.4
1/1/2013,8,0.14,98.2029,1.71,888,940,73.8,146.3
2/1/2013,7.7,0.15,98.6733,2,962,980,77.6,151.2
3/1/2013,7.5,0.14,99.0788,1.8,1010,936,78.6,152.1
4/1/2013,7.6,0.15,98.9658,1.71,835,1012,76.4,156.1
5/1/2013,7.5,0.11,99.0567,1.67,930,1003,84.5,158.3
6/1/2013,7.5,0.09,99.2424,1.56,839,942,84.1,164.4
7/1/2013,7.3,0.09,98.9258,1.54,880,997,85.1,161.4
8/1/2013,7.2,0.08,99.5059,1.67,917,964,82.1,170.7
9/1/2013,7.2,0.08,100.0391,1.75,850,1004,77.5,170.0
10/1/2013,7.2,0.09,99.9203,1.39,925,1044,73.2,169.3
11/1/2013,6.9,0.08,100.1661,1.54,1100,1029,75.1,176.2
12/1/2013,6.7,0.09,100.3777,1.5,1002,1005,82.5,180.5
1/1/2014,6.6,0.07,99.999,1.85,888,976,81.2,177.3
2/1/2014,6.7,0.07,100.7583,1.41,944,1039,81.6,174.2
3/1/2014,6.7,0.08,101.7767,1.49,970,1067,80,185.0
4/1/2014,6.2,0.09,101.8425,1.79,1043,1090,84.1,188.3
